fecha,presentacion,origen,destino,precio_minimo,precio_maximo,precio_frecuente,obs,fecha_inicio_query,fecha_final_query,producto_id,origen_id,destino_id,origen_query,destino_query,precios_por_id,registros_por_pagina,fuente,fecha_extraccion
04/03/2026,Kilogramo,Michoacán,Chihuahua: Mercado de Abasto de Cd. Juárez,32.0,32.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
05/03/2026,Kilogramo,Michoacán,Chihuahua: Mercado de Abasto de Cd. Juárez,32.0,32.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
06/03/2026,Kilogramo,Michoacán,Chihuahua: Mercado de Abasto de Cd. Juárez,32.0,32.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
09/03/2026,Kilogramo,Michoacán,Chihuahua: Mercado de Abasto de Cd. Juárez,32.0,32.0,32.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
10/03/2026,Kilogramo,Michoacán,Chihuahua: Mercado de Abasto de Cd. Juárez,34.0,34.0,34.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
11/03/2026,Kilogramo,Michoacán,Chihuahua: Mercado de Abasto de Cd. Juárez,34.0,34.0,34.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
12/03/2026,Kilogramo,Michoacán,Chihuahua: Mercado de Abasto de Cd. Juárez,34.0,34.0,34.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
13/03/2026,Kilogramo,Michoacán,Chihuahua: Mercado de Abasto de Cd. Juárez,34.0,34.0,34.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
03/03/2026,Caja de 9 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,34.44,38.89,36.67,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
04/03/2026,Caja de 9 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,34.44,38.89,36.67,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
05/03/2026,Caja de 9 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,31.11,36.67,34.44,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
06/03/2026,Caja de 9 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,30.0,35.56,33.33,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
09/03/2026,Caja de 9 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,31.11,36.67,34.44,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
10/03/2026,Caja de 9 kg.,Michoacán,DF: Central de Abasto de Iztapalapa DF,32.22,36.67,34.44,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
